UID,Institution,Applican ID,PEP,Criminal,Expected employment key,Expected occupation key
24629,TW,14972,NULL,NULL,C,027
24647,CAYMAN,14990,NULL,NULL,C,047
24666,TW,15009,NULL,NULL,C,047
24667,CAYMAN,15010,NULL,NULL,C,047
24740,CAYMAN,15083,NULL,NULL,C,003
24750,CAYMAN,15093,NULL,NULL,C,004
24774,CAYMAN,15117,NULL,NULL,C,047
24816,TW,15159,NULL,NULL,C,055
24834,TW,15177,NULL,NULL,C,047
24837,CAYMAN,15180,NULL,NULL,C,055
24881,CAYMAN,15224,NULL,NULL,C,053
24882,CAYMAN,15225,NULL,NULL,C,003
24893,CAYMAN,15236,NULL,NULL,C,003
24896,CAYMAN,15239,NULL,NULL,C,047
24901,CAYMAN,15244,NULL,NULL,C,047
24908,TW,15251,NULL,NULL,C,003
24917,CAYMAN,15260,NULL,NULL,C,047
24926,CAYMAN,15269,NULL,NULL,C,062
24930,TW,15273,NULL,NULL,C,009
24933,CAYMAN,15276,NULL,NULL,C,062
24938,CAYMAN,15281,NULL,NULL,C,047
24952,CAYMAN,15295,NULL,NULL,C,047
24953,CAYMAN,15296,NULL,NULL,C,057
24959,CAYMAN,15302,NULL,NULL,C,047
24975,CAYMAN,15318,NULL,NULL,C,047
24976,CAYMAN,15319,NULL,NULL,C,047
24992,CAYMAN,15335,NULL,NULL,C,031
24994,TW,15337,NULL,NULL,C,027
24999,TW,15342,NULL,NULL,C,047
25040,TW,15383,NULL,NULL,C,047
25042,CAYMAN,15385,NULL,NULL,C,031
25043,CAYMAN,15386,NULL,NULL,C,047
25045,CAYMAN,15388,NULL,NULL,C,047
25087,TW,15430,NULL,NULL,C,053
25105,CAYMAN,15448,NULL,NULL,C,009
25106,CAYMAN,15449,NULL,NULL,C,059
25118,CAYMAN,15461,NULL,NULL,C,004
25119,TW,15462,NULL,NULL,C,047
25132,TW,15475,NULL,NULL,C,047
25157,CAYMAN,15500,NULL,NULL,C,009
25163,CAYMAN,15506,NULL,NULL,C,055
25184,TW,15527,NULL,NULL,C,047
25200,TW,15543,NULL,NULL,C,047
25260,TW,15603,NULL,NULL,C,057
25269,CAYMAN,15612,NULL,NULL,C,062
25289,CAYMAN,15632,NULL,NULL,C,047
25343,TW,15686,NULL,NULL,C,047
25367,TW,15710,NULL,NULL,C,003
25430,TW,15773,NULL,NULL,C,009
25469,CAYMAN,15812,NULL,NULL,C,062
25473,TW,15816,NULL,NULL,C,047
25488,TW,15831,NULL,NULL,C,031
25495,CAYMAN,15838,NULL,NULL,C,047
25509,CAYMAN,15852,NULL,NULL,C,031
25510,TW,15853,NULL,NULL,C,031
25536,TW,15879,NULL,NULL,C,055
25538,CAYMAN,15881,NULL,NULL,C,015
25554,CAYMAN,15897,NULL,NULL,C,031
25561,CAYMAN,15904,NULL,NULL,C,047
25583,TW,15926,NULL,NULL,C,031
25587,TW,15930,NULL,NULL,C,031
25619,CAYMAN,15960,NULL,NULL,C,003
25623,TW,15964,NULL,NULL,C,059
25624,TW,15965,NULL,NULL,C,059
25627,CAYMAN,15968,NULL,NULL,C,047
25630,CAYMAN,15971,NULL,NULL,C,027
25631,CAYMAN,15972,NULL,NULL,C,047
25648,TW,15989,NULL,NULL,C,047
25665,CAYMAN,16006,NULL,NULL,C,047
25679,TW,16020,NULL,NULL,C,047
25692,CAYMAN,16033,NULL,NULL,C,037
25694,CAYMAN,16035,NULL,NULL,C,004
25697,CAYMAN,16038,NULL,NULL,C,071
25699,CAYMAN,16040,NULL,NULL,C,047
25705,CAYMAN,16046,NULL,NULL,C,047
25719,CAYMAN,16060,NULL,NULL,C,052
25735,TW,16076,NULL,NULL,C,003
25739,CAYMAN,16080,NULL,NULL,C,047
25787,CAYMAN,16128,NULL,NULL,C,004
25791,CAYMAN,16132,NULL,NULL,C,031
25813,CAYMAN,16154,NULL,NULL,C,003
25819,CAYMAN,16160,NULL,NULL,C,004
25820,CAYMAN,16161,NULL,NULL,C,036
25843,CAYMAN,16184,NULL,NULL,C,055
25873,CAYMAN,16214,NULL,NULL,C,047
25878,CAYMAN,16219,NULL,NULL,C,047
25892,CAYMAN,16233,NULL,NULL,C,004
25899,TW,16240,NULL,NULL,C,047
25902,CAYMAN,16243,NULL,NULL,C,003
25983,CAYMAN,16324,NULL,NULL,C,010
25991,CAYMAN,16332,NULL,NULL,C,009
25992,CAYMAN,16333,NULL,NULL,C,031
25993,CAYMAN,16334,NULL,NULL,C,071
25998,CAYMAN,16339,NULL,NULL,C,047
26011,CAYMAN,16352,NULL,NULL,C,053
26026,CAYMAN,16367,NULL,NULL,C,066
26044,CAYMAN,16385,NULL,NULL,C,055
26055,CAYMAN,16396,NULL,NULL,C,004
26063,TW,16404,NULL,NULL,C,003
26081,TW,16422,NULL,NULL,C,015
26108,TW,16449,NULL,NULL,C,047
26137,CAYMAN,16478,NULL,NULL,C,009
26153,CAYMAN,16494,NULL,NULL,C,015
26164,CAYMAN,16505,NULL,NULL,C,047
26182,TW,16523,NULL,NULL,C,003
26188,CAYMAN,16529,NULL,NULL,C,062
26195,TW,16536,NULL,NULL,C,047
26203,TW,16544,NULL,NULL,C,062
26261,CAYMAN,16602,NULL,NULL,C,015
26267,TW,16608,NULL,NULL,C,047
26287,CAYMAN,16628,NULL,NULL,C,003
26307,CAYMAN,16648,NULL,NULL,C,009
26321,CAYMAN,16662,NULL,NULL,C,047
26341,CAYMAN,16682,NULL,NULL,C,021
26382,CAYMAN,16723,NULL,NULL,C,055
26409,CAYMAN,16750,NULL,NULL,C,066
26411,TW,16752,NULL,NULL,C,001
26508,CAYMAN,16849,NULL,NULL,C,003
26510,CAYMAN,16851,NULL,NULL,C,031
26511,CAYMAN,16852,NULL,NULL,C,001
26518,TW,16859,NULL,NULL,C,066
26520,TW,16861,NULL,NULL,C,003
26521,CAYMAN,16862,NULL,NULL,C,057
26522,CAYMAN,16863,NULL,NULL,C,062
26552,CAYMAN,16893,NULL,NULL,C,062
26601,CAYMAN,16942,NULL,NULL,C,047
